shipment_id,vendor,shipto_country,managed_by,fulfill_via,shipment_mode,pq_#,pq_first_sent_to_client_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor_inco_term,shipment_weight_kg,freight_cost_(usd),line_item_quantity,line_item_value,weight_captured_kg,freight_cost_usd,delivery_days,estimated_days,is_late,is_damaged,shipment_status
SHP_000011,Ecom Express,India,Pune,Direct Drop,Sea,11,2022-12-20,2022-12-20,2022-12-26,2022-12-26,Food,Food,CIP,328.75,72.63,191,473.25,353.28,72.63,6,3,True,False,Late
SHP_000012,Ecom Express,India,Pune,Direct Drop,Sea,12,2022-01-04,2022-01-04,2022-01-10,2022-01-10,Consumer Goods,Consumer Goods,CIP,466.58,93.81,68,608.96,369.59,93.81,6,4,True,True,Late
SHP_000013,XpressBees,India,Surat,Direct Drop,Ground,13,2022-07-25,2022-07-25,2022-07-26,2022-07-26,Industrial,Industrial,CIP,184.93,126.77,143,729.99,355.6,126.77,1,3,False,False,Delivered
SHP_000014,SpeedPost,India,Hyderabad,Direct Drop,Ground,14,2022-04-13,2022-04-13,2022-04-27,2022-04-27,Food,Food,DDP,351.07,214.17,108,1150.37,357.66,214.17,14,9,True,False,Late
SHP_000015,Delhivery,India,Hyderabad,From RDC,Sea,15,2022-10-08,2022-10-08,2022-10-20,2022-10-20,Food,Food,DDP,444.69,131.32,122,786.62,490.23,131.32,12,10,True,False,Late
SHP_000016,Amazon Logistics,India,Chennai,Direct Drop,Sea,16,2023-06-20,2023-06-20,2023-06-21,2023-06-21,Automotive Parts,Automotive Parts,DDP,266.74,69.57,163,144.15,159.88,69.57,1,3,False,False,Delivered
SHP_000017,DTDC,India,Bangalore,From RDC,Air,17,2023-08-26,2023-08-26,2023-09-03,2023-09-03,Apparel,Apparel,CIP,29.22,86.14,199,388.17,402.77,86.14,8,3,True,False,Late
SHP_000018,FedEx,India,Ahmedabad,Direct Drop,Sea,18,2022-10-07,2022-10-07,2022-10-17,2022-10-17,Apparel,Apparel,CIP,326.47,73.82,137,183.72,339.1,73.82,10,7,True,False,Late
SHP_000019,SafeExpress,India,Bangalore,Direct Drop,Sea,19,2022-06-03,2022-06-03,2022-06-05,2022-06-05,Apparel,Apparel,DDP,380.4,121.1,157,359.26,386.7,121.1,2,4,False,False,Delivered
SHP_000020,Delhivery,India,Kolkata,Direct Drop,Air,20,2022-11-11,2022-11-11,2022-11-19,2022-11-19,Food,Food,CIP,458.45,43.34,25,290.23,494.95,43.34,8,5,True,False,Late
SHP_000021,SpeedPost,India,Ahmedabad,From RDC,Air,21,2022-06-15,2022-06-15,2022-06-26,2022-06-26,Electronics,Electronics,CIP,474.32,143.43,34,1098.94,440.54,143.43,11,5,True,False,Late
SHP_000022,Amazon Logistics,India,Hyderabad,From RDC,Ground,22,2022-05-07,2022-05-07,2022-05-18,2022-05-18,Industrial,Industrial,DDP,163.81,126.19,9,537.56,135.7,126.19,11,10,True,False,Late
SHP_000023,BlueDart,India,Surat,Direct Drop,Air,23,2023-11-22,2023-11-22,2023-11-25,2023-11-25,Apparel,Apparel,DDP,203.44,118.67,14,388.4,324.08,118.67,3,3,False,False,Delivered
SHP_000024,UPS,India,Jaipur,Direct Drop,Sea,24,2023-03-22,2023-03-22,2023-03-27,2023-03-27,Electronics,Electronics,CIP,31.11,143.23,66,443.93,382.22,143.23,5,3,True,False,Late
SHP_000025,UPS,India,Mumbai,Direct Drop,Ground,25,2023-05-31,2023-05-31,2023-06-10,2023-06-10,Pharma,Pharma,DDP,45.95,38.88,129,115.06,366.95,38.88,10,9,True,False,Late
SHP_000026,XpressBees,India,Chennai,From RDC,Air,26,2023-03-23,2023-03-23,2023-03-28,2023-03-28,Electronics,Electronics,DDP,258.16,46.15,130,346.24,425.36,46.15,5,6,False,False,Delivered
SHP_000027,FedEx,India,Chennai,Direct Drop,Ground,27,2023-06-22,2023-06-22,2023-07-01,2023-07-01,Food,Food,CIP,383.68,114.6,86,570.04,48.97,114.6,9,6,True,False,Late
SHP_000028,Gati,India,Mumbai,From RDC,Sea,28,2023-03-24,2023-03-24,2023-03-31,2023-03-31,Pharma,Pharma,CIP,5.56,112.24,136,423.37,362.98,112.24,7,3,True,True,Late
SHP_000029,FedEx,India,Bangalore,Direct Drop,Ground,29,2023-02-03,2023-02-03,2023-02-11,2023-02-11,Medical,Medical,EXW,71.0,66.61,21,466.87,190.1,66.61,8,5,True,False,Late
SHP_000030,Delhivery,India,Pune,From RDC,Air,30,2022-09-08,2022-09-08,2022-09-11,2022-09-11,Consumer Goods,Consumer Goods,DDP,0.87,32.58,30,193.69,40.94,32.58,3,5,False,False,Delivered
SHP_000031,SafeExpress,India,Pune,Direct Drop,Ground,31,2023-03-10,2023-03-10,2023-03-21,2023-03-21,Automotive Parts,Automotive Parts,DDP,122.12,138.52,9,459.64,163.37,138.52,11,9,True,False,Late
SHP_000032,FedEx,India,Hyderabad,From RDC,Air,32,2023-09-29,2023-09-29,2023-10-04,2023-10-04,Industrial,Industrial,CIP,61.41,83.07,5,306.84,382.4,83.07,5,6,False,False,Delivered
SHP_000033,SafeExpress,India,Ahmedabad,From RDC,Ground,33,2022-11-25,2022-11-25,2022-12-03,2022-12-03,Consumer Goods,Consumer Goods,EXW,34.53,113.24,72,534.79,245.3,113.24,8,6,True,False,Late
SHP_000034,SpeedPost,India,Delhi,Direct Drop,Air,34,2022-02-18,2022-02-18,2022-02-23,2022-02-23,Pharma,Pharma,EXW,399.77,226.62,56,730.18,320.26,226.62,5,4,True,False,Late
SHP_000035,FedEx,India,Mumbai,From RDC,Air,35,2022-10-21,2022-10-21,2022-10-25,2022-10-25,Consumer Goods,Consumer Goods,CIP,421.03,128.27,193,578.73,316.09,128.27,4,5,False,False,Delivered
SHP_000036,FedEx,India,Hyderabad,Direct Drop,Ground,36,2022-09-14,2022-09-14,2022-09-19,2022-09-19,Industrial,Industrial,CIP,195.88,117.31,75,655.34,109.14,117.31,5,5,False,False,Delivered
SHP_000037,Amazon Logistics,India,Hyderabad,Direct Drop,Sea,37,2022-09-16,2022-09-16,2022-09-26,2022-09-26,Automotive Parts,Automotive Parts,EXW,307.02,52.12,155,265.62,113.78,52.12,10,7,True,False,Late
SHP_000038,Ecom Express,India,Bangalore,From RDC,Air,38,2022-12-12,2022-12-12,2022-12-23,2022-12-23,Pharma,Pharma,EXW,2.89,125.21,23,833.91,149.71,125.21,11,9,True,False,Late
SHP_000039,FedEx,India,Bangalore,From RDC,Air,39,2022-11-14,2022-11-14,2022-11-21,2022-11-21,Industrial,Industrial,EXW,149.24,111.19,86,558.58,221.78,111.19,7,5,True,False,Late
SHP_000040,DTDC,India,Ahmedabad,Direct Drop,Air,40,2022-08-12,2022-08-12,2022-08-21,2022-08-21,Medical,Medical,DDP,261.8,87.31,109,550.94,480.29,87.31,9,8,True,False,Late
SHP_000041,SpeedPost,India,Pune,From RDC,Air,41,2023-06-15,2023-06-15,2023-06-21,2023-06-21,Apparel,Apparel,EXW,267.2,82.79,173,442.79,417.09,82.79,6,7,False,False,Delivered
SHP_000042,UPS,India,Surat,Direct Drop,Air,42,2022-04-13,2022-04-13,2022-04-18,2022-04-18,Medical,Medical,EXW,314.55,110.15,122,478.72,433.83,110.15,5,7,False,False,Delivered
SHP_000043,Amazon Logistics,India,Kolkata,Direct Drop,Air,43,2023-08-30,2023-08-30,2023-09-08,2023-09-08,Medical,Medical,CIP,340.68,42.61,2,179.23,157.05,42.61,9,9,False,False,Delivered
SHP_000044,BlueDart,India,Jaipur,Direct Drop,Ground,44,2023-09-11,2023-09-11,2023-09-18,2023-09-18,Electronics,Electronics,DDP,330.91,78.94,197,563.88,14.02,78.94,7,7,False,False,Delivered
SHP_000045,Amazon Logistics,India,Surat,From RDC,Air,45,2022-05-26,2022-05-26,2022-06-02,2022-06-02,Industrial,Industrial,CIP,15.18,92.84,126,312.95,325.79,92.84,7,6,True,False,Late
SHP_000046,XpressBees,India,Hyderabad,Direct Drop,Sea,46,2023-06-04,2023-06-04,2023-06-06,2023-06-06,Food,Food,CIP,388.0,84.45,138,664.03,32.78,84.45,2,3,False,False,Delivered
SHP_000047,BlueDart,India,Mumbai,Direct Drop,Air,47,2022-07-27,2022-07-27,2022-08-07,2022-08-07,Automotive Parts,Automotive Parts,DDP,215.99,106.26,33,831.15,458.42,106.26,11,10,True,True,Late
SHP_000048,Amazon Logistics,India,Ahmedabad,Direct Drop,Sea,48,2023-09-16,2023-09-16,2023-09-22,2023-09-22,Industrial,Industrial,CIP,424.3,127.93,195,638.31,68.52,127.93,6,3,True,False,Late
SHP_000049,SpeedPost,India,Pune,From RDC,Air,49,2022-02-02,2022-02-02,2022-02-14,2022-02-14,Apparel,Apparel,DDP,127.4,171.17,21,742.01,206.52,171.17,12,8,True,False,Late
SHP_000050,DTDC,India,Jaipur,Direct Drop,Air,50,2023-05-06,2023-05-06,2023-05-16,2023-05-16,Industrial,Industrial,DDP,438.6,109.22,183,769.69,80.13,109.22,10,3,True,False,Late
SHP_000051,BlueDart,India,Hyderabad,Direct Drop,Air,51,2022-11-26,2022-11-26,2022-12-05,2022-12-05,Industrial,Industrial,EXW,273.7,78.13,119,286.41,419.76,78.13,9,9,False,False,Delivered
SHP_000052,Gati,India,Pune,From RDC,Air,52,2022-12-02,2022-12-02,2022-12-06,2022-12-06,Apparel,Apparel,DDP,59.3,165.57,177,725.3,165.43,165.57,4,5,False,False,Delivered
SHP_000053,Ecom Express,India,Surat,Direct Drop,Ground,53,2022-12-03,2022-12-03,2022-12-12,2022-12-12,Medical,Medical,EXW,486.03,37.73,183,167.73,476.95,37.73,9,6,True,False,Late
SHP_000054,Delhivery,India,Delhi,From RDC,Ground,54,2022-03-02,2022-03-02,2022-03-03,2022-03-03,Apparel,Apparel,CIP,253.07,105.66,47,624.92,496.25,105.66,1,3,False,False,Delivered
SHP_000055,Ecom Express,India,Jaipur,From RDC,Sea,55,2022-11-23,2022-11-23,2022-12-03,2022-12-03,Consumer Goods,Consumer Goods,EXW,477.56,145.3,114,695.19,227.59,145.3,10,7,True,False,Late
SHP_000056,Amazon Logistics,India,Ahmedabad,From RDC,Air,56,2023-07-03,2023-07-03,2023-07-15,2023-07-15,Industrial,Industrial,EXW,173.05,85.68,3,367.22,444.4,85.68,12,10,True,False,Late
SHP_000057,Delhivery,India,Mumbai,Direct Drop,Air,57,2022-05-10,2022-05-10,2022-05-16,2022-05-16,Food,Food,EXW,294.58,81.56,49,228.61,110.74,81.56,6,4,True,False,Late
SHP_000058,DTDC,India,Mumbai,Direct Drop,Air,58,2022-03-03,2022-03-03,2022-03-08,2022-03-08,Medical,Medical,DDP,376.8,86.63,48,413.02,238.4,86.63,5,3,True,False,Late
SHP_000059,Delhivery,India,Pune,Direct Drop,Air,59,2022-09-07,2022-09-07,2022-09-12,2022-09-12,Medical,Medical,CIP,457.1,107.48,73,712.57,418.99,107.48,5,7,False,False,Delivered
SHP_000060,Delhivery,India,Bangalore,From RDC,Sea,60,2022-12-09,2022-12-09,2022-12-19,2022-12-19,Automotive Parts,Automotive Parts,DDP,45.55,87.61,28,690.86,14.61,87.61,10,7,True,False,Late
SHP_000061,Ecom Express,India,Pune,From RDC,Sea,61,2022-06-29,2022-06-29,2022-07-07,2022-07-07,Pharma,Pharma,CIP,195.36,73.85,155,514.53,332.83,73.85,8,8,False,False,Delivered
SHP_000062,Amazon Logistics,India,Delhi,From RDC,Ground,62,2023-11-16,2023-11-16,2023-11-24,2023-11-24,Electronics,Electronics,EXW,429.18,124.68,14,876.06,276.88,124.68,8,10,False,False,Delivered
SHP_000063,Amazon Logistics,India,Kolkata,Direct Drop,Air,63,2023-10-29,2023-10-29,2023-11-01,2023-11-01,Apparel,Apparel,DDP,289.83,67.73,172,144.77,31.37,67.73,3,3,False,False,Delivered
SHP_000064,DHL,India,Hyderabad,Direct Drop,Ground,64,2023-04-26,2023-04-26,2023-04-29,2023-04-29,Medical,Medical,EXW,31.67,46.43,65,213.09,56.95,46.43,3,5,False,False,Delivered
SHP_000065,SpeedPost,India,Delhi,Direct Drop,Air,65,2022-01-02,2022-01-02,2022-01-12,2022-01-12,Apparel,Apparel,CIP,407.67,163.24,117,601.49,481.64,163.24,10,6,True,False,Late
SHP_000066,BlueDart,India,Ahmedabad,Direct Drop,Air,66,2022-10-16,2022-10-16,2022-10-22,2022-10-22,Food,Food,DDP,351.88,56.24,10,171.44,494.6,56.24,6,3,True,False,Late
SHP_000067,DTDC,India,Kolkata,Direct Drop,Air,67,2022-03-14,2022-03-14,2022-03-19,2022-03-19,Pharma,Pharma,DDP,430.22,82.67,69,560.76,409.23,82.67,5,4,True,False,Late
SHP_000068,Delhivery,India,Bangalore,Direct Drop,Ground,68,2023-01-30,2023-01-30,2023-02-03,2023-02-03,Automotive Parts,Automotive Parts,EXW,344.65,51.56,169,357.01,299.58,51.56,4,3,True,False,Late
SHP_000069,Gati,India,Chennai,From RDC,Sea,69,2022-02-15,2022-02-15,2022-02-25,2022-02-25,Food,Food,EXW,62.34,184.08,42,898.84,60.03,184.08,10,8,True,False,Late
SHP_000070,UPS,India,Chennai,Direct Drop,Air,70,2022-06-25,2022-06-25,2022-07-02,2022-07-02,Apparel,Apparel,DDP,384.06,100.56,138,212.01,308.71,100.56,7,9,False,False,Delivered
SHP_000071,Gati,India,Jaipur,From RDC,Sea,71,2023-09-27,2023-09-27,2023-10-07,2023-10-07,Automotive Parts,Automotive Parts,CIP,466.95,168.23,193,819.17,122.93,168.23,10,7,True,False,Late
SHP_000072,Amazon Logistics,India,Jaipur,Direct Drop,Sea,72,2022-05-19,2022-05-19,2022-05-26,2022-05-26,Electronics,Electronics,DDP,209.89,38.35,169,143.68,8.69,38.35,7,4,True,False,Late
SHP_000073,Ecom Express,India,Bangalore,From RDC,Air,73,2023-09-05,2023-09-05,2023-09-06,2023-09-06,Medical,Medical,EXW,315.26,102.04,124,417.75,425.92,102.04,1,3,False,False,Delivered
SHP_000074,UPS,India,Pune,Direct Drop,Sea,74,2023-11-21,2023-11-21,2023-11-26,2023-11-26,Medical,Medical,CIP,349.27,110.17,33,534.84,324.19,110.17,5,6,False,False,Delivered
SHP_000075,XpressBees,India,Bangalore,Direct Drop,Ground,75,2023-09-30,2023-09-30,2023-10-05,2023-10-05,Food,Food,EXW,311.1,92.61,70,497.22,69.95,92.61,5,7,False,False,Delivered
SHP_000076,Amazon Logistics,India,Jaipur,From RDC,Air,76,2023-07-04,2023-07-04,2023-07-11,2023-07-11,Apparel,Apparel,DDP,439.94,48.73,79,291.87,471.48,48.73,7,8,False,False,Delivered
SHP_000077,Ecom Express,India,Jaipur,From RDC,Ground,77,2022-01-04,2022-01-04,2022-01-09,2022-01-09,Automotive Parts,Automotive Parts,EXW,345.03,99.4,7,582.42,60.11,99.4,5,4,True,False,Late
SHP_000078,UPS,India,Chennai,From RDC,Sea,78,2023-07-31,2023-07-31,2023-08-05,2023-08-05,Industrial,Industrial,CIP,419.51,97.95,185,229.44,103.58,97.95,5,6,False,False,Delivered
SHP_000079,FedEx,India,Delhi,From RDC,Air,79,2022-07-08,2022-07-08,2022-07-20,2022-07-20,Consumer Goods,Consumer Goods,EXW,445.12,104.83,85,703.33,72.55,104.83,12,9,True,False,Late
SHP_000080,Amazon Logistics,India,Delhi,From RDC,Sea,80,2023-02-13,2023-02-13,2023-02-21,2023-02-21,Electronics,Electronics,CIP,448.65,65.08,155,257.52,85.82,65.08,8,6,True,False,Late
SHP_000081,UPS,India,Chennai,Direct Drop,Sea,81,2023-02-22,2023-02-22,2023-03-05,2023-03-05,Apparel,Apparel,DDP,23.51,60.32,126,308.78,267.29,60.32,11,10,True,False,Late
SHP_000082,XpressBees,India,Kolkata,Direct Drop,Air,82,2023-11-22,2023-11-22,2023-11-26,2023-11-26,Pharma,Pharma,EXW,38.3,83.0,137,488.75,86.12,83.0,4,6,False,False,Delivered
SHP_000083,Gati,India,Chennai,Direct Drop,Ground,83,2023-01-28,2023-01-28,2023-02-05,2023-02-05,Medical,Medical,DDP,202.22,179.43,192,503.29,448.02,179.43,8,8,False,False,Delivered
SHP_000084,Amazon Logistics,India,Pune,From RDC,Sea,84,2022-10-04,2022-10-04,2022-10-10,2022-10-10,Food,Food,DDP,79.06,59.59,8,145.55,494.29,59.59,6,8,False,False,Delivered
SHP_000085,SpeedPost,India,Surat,Direct Drop,Ground,85,2023-06-20,2023-06-20,2023-07-05,2023-07-05,Pharma,Pharma,EXW,78.76,219.43,74,1651.0,188.63,219.43,15,8,True,False,Late
SHP_000086,DHL,India,Chennai,Direct Drop,Ground,86,2023-08-09,2023-08-09,2023-08-21,2023-08-21,Industrial,Industrial,DDP,77.22,99.59,42,626.76,237.85,99.59,12,10,True,False,Late
SHP_000087,FedEx,India,Ahmedabad,Direct Drop,Ground,87,2023-04-08,2023-04-08,2023-04-11,2023-04-11,Electronics,Electronics,DDP,68.63,120.16,37,255.65,139.96,120.16,3,5,False,False,Delivered
SHP_000088,XpressBees,India,Chennai,Direct Drop,Sea,88,2023-03-30,2023-03-30,2023-04-04,2023-04-04,Consumer Goods,Consumer Goods,CIP,113.77,91.94,33,359.61,0.52,91.94,5,7,False,False,Delivered
SHP_000089,SafeExpress,India,Bangalore,From RDC,Sea,89,2023-06-10,2023-06-10,2023-06-13,2023-06-13,Consumer Goods,Consumer Goods,CIP,435.09,92.57,197,585.52,172.82,92.57,3,3,False,False,Delivered
SHP_000090,SafeExpress,India,Bangalore,From RDC,Ground,90,2022-04-21,2022-04-21,2022-04-26,2022-04-26,Apparel,Apparel,EXW,363.16,72.26,63,429.15,143.57,72.26,5,3,True,False,Late
SHP_000091,Amazon Logistics,India,Delhi,Direct Drop,Sea,91,2023-06-19,2023-06-19,2023-06-23,2023-06-23,Consumer Goods,Consumer Goods,EXW,409.22,90.56,93,554.37,163.24,90.56,4,4,False,False,Delivered
SHP_000092,Amazon Logistics,India,Hyderabad,From RDC,Ground,92,2022-03-15,2022-03-15,2022-03-23,2022-03-23,Consumer Goods,Consumer Goods,DDP,61.0,121.6,4,361.07,20.37,121.6,8,6,True,False,Late
SHP_000093,BlueDart,India,Pune,Direct Drop,Air,93,2023-06-23,2023-06-23,2023-07-01,2023-07-01,Automotive Parts,Automotive Parts,CIP,302.24,106.48,80,734.37,224.81,106.48,8,6,True,False,Late
SHP_000094,FedEx,India,Mumbai,Direct Drop,Sea,94,2022-12-14,2022-12-14,2022-12-23,2022-12-23,Pharma,Pharma,EXW,35.74,136.15,147,549.47,422.64,136.15,9,9,False,False,Delivered
SHP_000095,UPS,India,Chennai,Direct Drop,Ground,95,2022-06-26,2022-06-26,2022-06-30,2022-06-30,Consumer Goods,Consumer Goods,CIP,129.75,100.11,95,315.92,112.21,100.11,4,6,False,False,Lost
SHP_000096,Ecom Express,India,Chennai,Direct Drop,Sea,96,2023-11-15,2023-11-15,2023-11-19,2023-11-19,Industrial,Industrial,DDP,303.14,70.39,170,308.98,112.24,70.39,4,6,False,False,Delivered
SHP_000097,SpeedPost,India,Delhi,From RDC,Ground,97,2022-12-24,2022-12-24,2023-01-08,2023-01-08,Food,Food,CIP,174.64,101.29,155,572.58,110.39,101.29,15,10,True,False,Late
SHP_000098,XpressBees,India,Surat,From RDC,Ground,98,2023-01-17,2023-01-17,2023-01-25,2023-01-25,Apparel,Apparel,DDP,147.54,117.62,79,487.96,130.45,117.62,8,6,True,False,Late
SHP_000099,DTDC,India,Delhi,Direct Drop,Ground,99,2022-02-21,2022-02-21,2022-03-05,2022-03-05,Industrial,Industrial,EXW,195.7,194.43,119,1081.89,116.15,194.43,12,7,True,False,Late
SHP_000100,DHL,India,Surat,From RDC,Air,100,2023-08-21,2023-08-21,2023-08-25,2023-08-25,Automotive Parts,Automotive Parts,DDP,129.92,42.85,85,235.22,197.02,42.85,4,6,False,False,Delivered
SHP_000101,FedEx,India,Delhi,Direct Drop,Sea,101,2022-06-26,2022-06-26,2022-07-04,2022-07-04,Automotive Parts,Automotive Parts,CIP,75.52,53.07,48,369.53,382.59,53.07,8,6,True,False,Late
SHP_000102,DHL,India,Pune,Direct Drop,Ground,102,2022-09-29,2022-09-29,2022-10-01,2022-10-01,Medical,Medical,CIP,192.22,53.3,137,134.26,201.97,53.3,2,4,False,False,Delivered
SHP_000103,FedEx,India,Pune,From RDC,Air,103,2023-05-27,2023-05-27,2023-05-31,2023-05-31,Pharma,Pharma,CIP,93.02,46.65,122,200.47,225.7,46.65,4,4,False,False,Delivered
SHP_000104,Ecom Express,India,Chennai,From RDC,Air,104,2022-09-24,2022-09-24,2022-09-26,2022-09-26,Automotive Parts,Automotive Parts,CIP,269.09,100.03,31,208.64,461.2,100.03,2,4,False,False,Delivered
SHP_000105,DHL,India,Mumbai,From RDC,Air,105,2023-08-17,2023-08-17,2023-08-18,2023-08-18,Electronics,Electronics,DDP,316.49,81.04,113,545.67,214.85,81.04,1,3,False,False,Delivered
SHP_000106,BlueDart,India,Bangalore,Direct Drop,Ground,106,2023-05-11,2023-05-11,2023-05-14,2023-05-14,Pharma,Pharma,DDP,33.3,34.56,56,212.59,113.45,34.56,3,3,False,False,Delivered
SHP_000107,Delhivery,India,Surat,Direct Drop,Ground,107,2023-08-25,2023-08-25,2023-08-31,2023-08-31,Industrial,Industrial,DDP,302.82,60.66,2,283.95,293.94,60.66,6,4,True,False,Late
SHP_000108,Amazon Logistics,India,Bangalore,From RDC,Ground,108,2022-04-10,2022-04-10,2022-04-12,2022-04-12,Automotive Parts,Automotive Parts,EXW,492.27,77.1,90,547.41,14.06,77.1,2,4,False,False,Delivered
SHP_000109,DTDC,India,Chennai,Direct Drop,Air,109,2022-02-28,2022-02-28,2022-03-10,2022-03-10,Consumer Goods,Consumer Goods,EXW,187.68,198.5,74,603.51,187.36,198.5,10,3,True,False,Late
SHP_000110,FedEx,India,Bangalore,Direct Drop,Air,110,2022-10-08,2022-10-08,2022-10-17,2022-10-17,Consumer Goods,Consumer Goods,DDP,77.66,95.95,78,598.48,13.86,95.95,9,6,True,False,Late
SHP_000111,Amazon Logistics,India,Bangalore,Direct Drop,Air,111,2023-02-09,2023-02-09,2023-02-17,2023-02-17,Consumer Goods,Consumer Goods,CIP,201.19,43.77,2,116.17,114.31,43.77,8,9,False,False,Delivered
SHP_000112,Gati,India,Chennai,From RDC,Air,112,2023-09-12,2023-09-12,2023-09-29,2023-09-29,Consumer Goods,Consumer Goods,DDP,417.21,234.08,30,1386.84,17.63,234.08,17,10,True,False,Late
SHP_000113,Delhivery,India,Mumbai,Direct Drop,Ground,113,2022-07-31,2022-07-31,2022-08-08,2022-08-08,Medical,Medical,EXW,473.67,52.77,182,399.06,242.91,52.77,8,7,True,False,Late
SHP_000114,BlueDart,India,Kolkata,Direct Drop,Air,114,2023-05-29,2023-05-29,2023-06-06,2023-06-06,Medical,Medical,DDP,142.48,112.7,173,753.76,438.3,112.7,8,9,False,False,Delivered
SHP_000115,DTDC,India,Delhi,From RDC,Air,115,2023-11-13,2023-11-13,2023-11-19,2023-11-19,Food,Food,DDP,408.19,173.53,118,1230.32,265.72,173.53,6,7,False,False,Delivered
SHP_000116,UPS,India,Delhi,From RDC,Air,116,2023-07-04,2023-07-04,2023-07-12,2023-07-12,Food,Food,EXW,429.3,131.33,85,517.61,372.74,131.33,8,10,False,False,Delivered
SHP_000117,XpressBees,India,Pune,Direct Drop,Air,117,2023-03-03,2023-03-03,2023-03-10,2023-03-10,Food,Food,EXW,33.39,80.3,172,449.14,162.08,80.3,7,6,True,False,Late
SHP_000118,Delhivery,India,Jaipur,From RDC,Ground,118,2022-03-04,2022-03-04,2022-03-10,2022-03-10,Medical,Medical,DDP,444.93,48.46,106,144.75,326.95,48.46,6,8,False,False,Delivered
SHP_000119,XpressBees,India,Jaipur,From RDC,Sea,119,2022-11-06,2022-11-06,2022-11-11,2022-11-11,Food,Food,DDP,407.13,36.41,151,281.97,325.96,36.41,5,7,False,False,Delivered
SHP_000120,DHL,India,Kolkata,From RDC,Ground,120,2022-01-26,2022-01-26,2022-02-02,2022-02-02,Consumer Goods,Consumer Goods,CIP,7.83,114.78,80,850.36,310.06,114.78,7,7,False,False,Delivered
SHP_000121,Ecom Express,India,Kolkata,From RDC,Air,121,2022-07-23,2022-07-23,2022-08-04,2022-08-04,Apparel,Apparel,DDP,471.12,87.8,94,422.87,360.81,87.8,12,9,True,False,Late
SHP_000122,UPS,India,Mumbai,Direct Drop,Ground,122,2022-09-03,2022-09-03,2022-09-10,2022-09-10,Medical,Medical,EXW,499.55,125.85,69,989.21,130.73,125.85,7,9,False,False,Delivered
SHP_000123,FedEx,India,Ahmedabad,Direct Drop,Ground,123,2022-08-06,2022-08-06,2022-08-17,2022-08-17,Industrial,Industrial,CIP,82.27,31.2,64,72.48,4.83,31.2,11,9,True,False,Late
SHP_000124,UPS,India,Jaipur,Direct Drop,Sea,124,2023-10-20,2023-10-20,2023-10-22,2023-10-22,Industrial,Industrial,EXW,148.26,41.6,45,278.78,295.76,41.6,2,4,False,False,Delivered
SHP_000125,DTDC,India,Ahmedabad,Direct Drop,Sea,125,2022-07-19,2022-07-19,2022-07-29,2022-07-29,Pharma,Pharma,EXW,46.94,245.03,8,1277.33,171.51,245.03,10,3,True,False,Late
